10166618	34		34	34		1000	500
10166618	41		75	75			
10166618	48		123	123			
10166618	52		175	175			
10166618	54		229	229			
10166618	58		287	287			
10166618	63		350	350			
10166618	67		417	417			
10166618	75		492	492	10166618		
10166618	77		569				
10166618	78		647				
10166618	89		736				
10166618	99		835				
10166618	108		943				
11606873	34		34	34			
11606873	36		70	70			
11606873	36		106	106			
11606873	38		144	144			
11606873	42		186	186			
11606873	48		234	234			
12824309	35		35	35			
12824309	36		71	71			
12824309	41		112	112			
12824309	48		160	160			
12824309	49		209	209			
13695027	36		36	36			
13695027	42		78	78			
13695027	53		131	131			
13695027	55		186	186			
13695027	67		253	253			
13695027	72		325	325			
13695027	78		403	403			
13695027	86		489	489	13695027		
13695027	98		587				
13695027	98		685				
13695027	104		789				
13695027	115		904				
13695027	117		1021				
13695027	117		1138				
13695027	128		1266				
13695027	138		1404				
13695027	142		1546				
14252631	31		31	31			
14252631	33		64	64			
14252631	40		104	104			
14252631	47		151	151			
14252631	49		200	200			
14252631	60		260	260			
14252631	71		331	331			
14252631	79		410	410			
14252631	84		494	494	14252631		
14252631	91		585				
14252631	93		678				
14252631	94		772				
14981976	26		26	26			
14981976	33		59	59			
14981976	40		99	99			
14981976	45		144	144			
14981976	51		195	195			
14981976	56		251	251			
14981976	61		312	312			
14981976	71		383	383			
14981976	75		458	458	14981976		
14981976	80		538				
14981976	81		619				
14981976	85		704				
14981976	88		792				
14981976	99		891				
14981976	104		995				
14981976	112		1107				
14981976	122		1229				
15230058	36		36	36			
15230058	46		82	82			
15230058	49		131	131			
15230058	52		183	183			
15230058	61		244	244			
15230058	68		312	312			
15230058	79		391	391			
15230058	80		471	471	15230058		
15230058	92		563				
15230058	97		660				
15230058	109		769				
15230058	120		889				
15230058	130		1019				
15230058	133		1152				
15230058	137		1289				
15230058	145		1434				
15230058	151		1585				
15230058	152		1737				
15230058	155		1892				
15230058	163		2055				
15230058	167		2222				
15230058	174		2396				
15230058	176		2572				
15230058	182		2754				
